tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,pickup_zip,dropoff_zip
2016-02-28T00:03:46.000Z,2016-02-28T00:28:18.000Z,10.66,31.5,11422,11221
2016-02-10T06:10:57.000Z,2016-02-10T06:18:49.000Z,1.6,7.5,10271,10012
2016-02-11T15:26:49.000Z,2016-02-11T15:36:21.000Z,1,7.5,10028,10044
2016-02-15T23:03:19.000Z,2016-02-15T23:38:15.000Z,11.4,35,11371,10011
2016-02-08T22:15:15.000Z,2016-02-08T22:31:32.000Z,5.5,18.5,10110,10271
2016-02-05T10:33:55.000Z,2016-02-05T10:46:58.000Z,1.14,9.5,10017,10119
2016-02-09T15:31:27.000Z,2016-02-09T15:40:16.000Z,1.18,8,10026,10025
2016-02-15T16:41:54.000Z,2016-02-15T17:38:20.000Z,18.43,52,11422,10011
2016-02-18T14:25:28.000Z,2016-02-18T14:49:35.000Z,2.22,15.5,10012,10110
2016-02-11T08:21:31.000Z,2016-02-11T08:33:31.000Z,2.16,10,10119,10012
2016-02-16T16:18:30.000Z,2016-02-16T16:25:13.000Z,1.1,7,10028,10021
2016-02-07T12:51:00.000Z,2016-02-07T12:56:13.000Z,1,6,10021,10103
2016-02-19T23:28:05.000Z,2016-02-19T23:32:16.000Z,1.3,5.5,10065,10028
2016-02-02T09:45:45.000Z,2016-02-02T10:02:27.000Z,2.9,14,10028,10111
2016-02-14T00:17:38.000Z,2016-02-14T00:42:58.000Z,6.7,23,10001,11206
2016-02-09T23:18:47.000Z,2016-02-09T23:30:26.000Z,2.7,10.5,10022,10012
2016-02-24T23:34:24.000Z,2016-02-24T23:36:45.000Z,0.66,4,10001,10020
2016-02-19T14:04:06.000Z,2016-02-19T15:02:15.000Z,8.9,40.5,11371,10020
2016-02-02T23:43:35.000Z,2016-02-02T23:54:47.000Z,3.5,12.5,10027,10018
2016-02-20T00:19:22.000Z,2016-02-20T00:32:02.000Z,2.7,12,10153,10011
2016-02-08T19:51:14.000Z,2016-02-08T20:12:15.000Z,8.1,25,10022,11231
2016-02-09T08:11:51.000Z,2016-02-09T08:19:24.000Z,1.2,6.5,10021,10028
2016-02-22T12:41:45.000Z,2016-02-22T13:04:15.000Z,8.84,28,11371,10017
2016-02-27T09:10:54.000Z,2016-02-27T09:18:37.000Z,1.5,7.5,10018,10001
2016-02-18T18:50:47.000Z,2016-02-18T19:04:38.000Z,2.5,11.5,10025,10019
2016-02-04T23:32:27.000Z,2016-02-04T23:38:56.000Z,1.2,7,10069,10103
2016-02-19T16:36:32.000Z,2016-02-19T17:02:46.000Z,3.2,17,10019,10011
2016-02-20T09:12:00.000Z,2016-02-20T09:21:14.000Z,2.76,10,10001,10012
2016-02-03T19:42:07.000Z,2016-02-03T20:03:06.000Z,4.5,17.5,10037,10018
2016-02-27T15:55:25.000Z,2016-02-27T16:13:48.000Z,3.18,13.5,10021,10001
2016-02-28T09:31:26.000Z,2016-02-28T09:50:15.000Z,3.72,15.5,10003,10019
2016-02-21T14:15:34.000Z,2016-02-21T14:22:47.000Z,1.37,7,10153,10001
2016-02-22T19:51:36.000Z,2016-02-22T20:01:34.000Z,1.53,9,10025,10023
2016-02-09T12:44:13.000Z,2016-02-09T12:51:39.000Z,0.96,6.5,10017,10017
2016-02-23T22:19:42.000Z,2016-02-23T22:53:08.000Z,6.9,26,10065,10005
2016-02-21T17:53:48.000Z,2016-02-21T18:17:19.000Z,1.22,14.5,10020,10119
2016-02-17T10:08:13.000Z,2016-02-17T10:23:00.000Z,1.8,11,10003,10001
2016-02-29T22:19:22.000Z,2016-02-29T22:29:32.000Z,2.85,10.5,10110,10044
2016-02-27T22:28:16.000Z,2016-02-27T22:40:34.000Z,1.35,9,10003,10011
2016-02-29T15:17:45.000Z,2016-02-29T15:22:44.000Z,0.56,5,10022,10153
2016-02-25T22:22:42.000Z,2016-02-25T22:29:50.000Z,1.02,7,10017,10199
2016-02-23T13:14:30.000Z,2016-02-23T13:31:39.000Z,4.2,16.5,10018,10282
2016-02-02T07:47:07.000Z,2016-02-02T08:07:59.000Z,1.8,13.5,10103,10021
2016-02-19T11:40:22.000Z,2016-02-19T11:45:05.000Z,0.6,5,10023,10019
2016-02-12T22:11:37.000Z,2016-02-12T22:17:19.000Z,0.82,5.5,10018,10103
2016-02-27T12:30:53.000Z,2016-02-27T12:52:26.000Z,3.1,15.5,10021,10001
2016-02-23T07:09:03.000Z,2016-02-23T07:30:13.000Z,3.2,16,10026,10023
2016-02-08T09:19:38.000Z,2016-02-08T09:32:23.000Z,1.7,10,10167,10003
2016-02-11T22:42:46.000Z,2016-02-11T23:00:30.000Z,2.4,13,10022,10003
2016-02-04T08:57:05.000Z,2016-02-04T09:17:13.000Z,2.35,14,10013,10001
2016-02-29T17:42:51.000Z,2016-02-29T17:53:07.000Z,1.9,9.5,10014,10012
2016-02-20T21:46:14.000Z,2016-02-20T21:53:29.000Z,1.93,8,11102,11106
2016-02-18T14:54:29.000Z,2016-02-18T14:57:12.000Z,0.39,4,10028,10028
2016-02-24T20:32:55.000Z,2016-02-24T20:36:31.000Z,0.78,5,10022,10110
2016-02-19T07:57:23.000Z,2016-02-19T08:01:14.000Z,0.48,4.5,10021,10021
2016-02-19T21:51:40.000Z,2016-02-19T22:05:01.000Z,6.78,20,10069,10034
2016-02-07T10:28:15.000Z,2016-02-07T10:41:23.000Z,3.07,12.5,10023,10023
2016-02-28T13:48:59.000Z,2016-02-28T14:19:36.000Z,15.5,52,10017,11422
2016-02-13T04:06:33.000Z,2016-02-13T04:40:07.000Z,16.7,48.5,10014,11235
2016-02-05T11:38:37.000Z,2016-02-05T11:52:21.000Z,1.7,10,10199,10001
2016-02-02T20:54:08.000Z,2016-02-02T21:39:17.000Z,10.7,42,10017,11354
2016-02-10T11:08:50.000Z,2016-02-10T11:27:54.000Z,2.42,13.5,10023,10065
2016-02-16T11:21:39.000Z,2016-02-16T11:34:34.000Z,1.97,10,10003,10199
2016-02-14T21:59:53.000Z,2016-02-14T22:05:42.000Z,1.7,7,10069,10021
2016-02-02T10:30:08.000Z,2016-02-02T10:37:17.000Z,0.8,6.5,10021,10153
2016-02-09T23:21:01.000Z,2016-02-09T23:29:32.000Z,1.89,8.5,10001,10002
2016-02-22T18:09:37.000Z,2016-02-22T18:22:09.000Z,1.6,9.5,10009,10014
2016-02-05T08:37:01.000Z,2016-02-05T08:54:56.000Z,2.1,13,10153,10199
2016-02-17T21:28:58.000Z,2016-02-17T21:32:40.000Z,0.91,5,10119,10011
2016-02-26T09:49:56.000Z,2016-02-26T09:57:53.000Z,0.92,7,10028,10021
2016-02-18T13:20:56.000Z,2016-02-18T13:47:36.000Z,6.4,23,10019,7311
2016-02-19T20:54:47.000Z,2016-02-19T21:06:08.000Z,2.1,10,10021,10019
2016-02-10T11:05:23.000Z,2016-02-10T11:15:35.000Z,1,8,10065,10021
2016-02-26T08:04:52.000Z,2016-02-26T08:09:29.000Z,0.87,5.5,10011,10012
2016-02-15T12:44:51.000Z,2016-02-15T13:07:39.000Z,3.48,16.5,10011,10022
2016-02-06T15:53:10.000Z,2016-02-06T16:24:38.000Z,10.98,34,11371,10020
2016-02-02T21:57:21.000Z,2016-02-02T22:06:06.000Z,2.4,9.5,10027,10023
2016-02-26T07:26:11.000Z,2016-02-26T07:28:19.000Z,0.5,4,10103,10153
2016-02-26T21:44:47.000Z,2016-02-26T21:48:03.000Z,0.47,4,10065,10065
2016-02-28T11:29:19.000Z,2016-02-28T11:43:53.000Z,4.3,15.5,10017,11102
2016-02-13T14:35:52.000Z,2016-02-13T15:01:36.000Z,3.33,17.5,10171,10012
2016-02-26T20:00:20.000Z,2016-02-26T20:18:23.000Z,2.44,13,10018,10012
2016-02-24T17:22:19.000Z,2016-02-24T17:27:57.000Z,0.8,5.5,10003,10012
2016-02-22T10:05:20.000Z,2016-02-22T10:15:27.000Z,1.2,8,10065,10022
2016-02-18T18:59:49.000Z,2016-02-18T19:23:56.000Z,4.2,18,10012,10021
2016-02-08T12:25:08.000Z,2016-02-08T12:32:01.000Z,0.7,6,10009,10009
2016-02-20T02:38:36.000Z,2016-02-20T02:48:05.000Z,2.1,9,10018,10012
2016-02-12T19:39:15.000Z,2016-02-12T19:50:33.000Z,1.7,9.5,10018,10023
2016-02-08T14:13:18.000Z,2016-02-08T14:20:37.000Z,0.79,6.5,10014,10011
2016-02-27T16:16:09.000Z,2016-02-27T16:20:50.000Z,0.8,5.5,10065,10021
2016-02-17T10:48:24.000Z,2016-02-17T10:59:54.000Z,1.1,8.5,10011,10110
2016-02-23T13:36:25.000Z,2016-02-23T13:52:56.000Z,1.8,11,10199,10112
2016-02-17T21:20:30.000Z,2016-02-17T21:31:53.000Z,2.46,10.5,10001,10023
2016-02-03T20:41:14.000Z,2016-02-03T20:50:14.000Z,0.9,7,10018,10199
2016-02-26T15:36:49.000Z,2016-02-26T15:55:01.000Z,4.2,16.5,10162,10014
2016-02-12T06:48:39.000Z,2016-02-12T06:52:16.000Z,1,5,10167,10001
2016-02-26T14:59:09.000Z,2016-02-26T15:06:28.000Z,1.47,7,10012,10011
2016-02-24T12:57:31.000Z,2016-02-24T13:05:01.000Z,0.65,6.5,10003,10011
2016-02-17T17:51:26.000Z,2016-02-17T18:05:43.000Z,1.05,9.5,10065,10111
2016-02-19T20:14:38.000Z,2016-02-19T20:27:56.000Z,1.5,9.5,10001,10022
2016-02-08T00:22:44.000Z,2016-02-08T00:36:43.000Z,6.7,20.5,10020,10032
2016-02-18T17:53:46.000Z,2016-02-18T17:55:28.000Z,0.48,3.5,10065,10021
2016-02-22T17:43:07.000Z,2016-02-22T17:48:10.000Z,0.4,5,10119,10018
2016-02-12T12:20:58.000Z,2016-02-12T12:28:23.000Z,1,6.5,10001,10017
2016-02-03T06:12:32.000Z,2016-02-03T06:17:43.000Z,0.8,5.5,10018,10110
2016-02-07T00:15:49.000Z,2016-02-07T00:26:07.000Z,0.58,7.5,10003,10003
2016-02-17T13:57:23.000Z,2016-02-17T14:04:25.000Z,0.44,6,10023,10023
2016-02-19T19:43:45.000Z,2016-02-19T19:49:52.000Z,1.25,6.5,10162,10023
2016-02-13T18:53:38.000Z,2016-02-13T18:56:51.000Z,0.8,5,10029,10028
2016-02-01T13:24:20.000Z,2016-02-01T13:34:19.000Z,1,8,10012,10278
2016-02-04T12:15:39.000Z,2016-02-04T12:42:54.000Z,1.86,16.5,10003,10110
2016-02-09T17:30:21.000Z,2016-02-09T17:32:14.000Z,0.5,3.5,10011,10119
2016-02-14T00:02:40.000Z,2016-02-14T00:19:11.000Z,3.36,14,10032,10025
2016-02-19T06:54:48.000Z,2016-02-19T06:57:51.000Z,0.6,4.5,10001,10009
2016-02-11T08:20:40.000Z,2016-02-11T08:25:51.000Z,0.72,5.5,10282,10013
2016-02-06T12:19:53.000Z,2016-02-06T12:24:22.000Z,0.7,5,10021,10065
2016-02-26T06:34:14.000Z,2016-02-26T06:39:21.000Z,1.1,6,10119,10110
2016-02-02T00:17:01.000Z,2016-02-02T00:20:31.000Z,0.69,4.5,10001,10011
2016-02-03T22:23:24.000Z,2016-02-03T22:36:45.000Z,1.8,10,10018,10011
2016-02-27T09:17:58.000Z,2016-02-27T09:28:01.000Z,2.22,9.5,10022,10028
2016-02-06T14:26:07.000Z,2016-02-06T14:29:35.000Z,0.7,5,10023,10023
2016-02-24T15:07:03.000Z,2016-02-24T15:11:13.000Z,0.61,5,10018,10018
2016-02-24T07:15:56.000Z,2016-02-24T07:57:07.000Z,17.28,52,10167,11422
2016-02-26T19:03:25.000Z,2016-02-26T19:15:49.000Z,2.31,11,10020,10044
2016-02-03T21:35:45.000Z,2016-02-03T21:44:49.000Z,1.81,8.5,10023,10022
2016-02-10T02:04:27.000Z,2016-02-10T02:22:17.000Z,10.3,29,10002,10039
2016-02-04T09:21:47.000Z,2016-02-04T09:32:19.000Z,0.8,8,10018,10110
2016-02-23T10:44:17.000Z,2016-02-23T10:59:31.000Z,3.72,14,10009,10005
2016-02-14T11:57:33.000Z,2016-02-14T12:07:43.000Z,1.6,8.5,10119,10003
2016-02-24T17:22:58.000Z,2016-02-24T17:30:34.000Z,0.5,6,10001,10110
2016-02-28T01:44:21.000Z,2016-02-28T02:02:52.000Z,2.3,13,10003,10003
2016-02-15T14:47:58.000Z,2016-02-15T14:53:02.000Z,0.77,5,10103,10022
2016-02-26T07:16:26.000Z,2016-02-26T07:24:10.000Z,1.2,7,10119,10017
2016-02-20T12:35:24.000Z,2016-02-20T12:58:46.000Z,3.4,17,10028,10020
2016-02-26T14:30:04.000Z,2016-02-26T14:37:07.000Z,0.66,6,10110,10171
2016-02-21T20:01:05.000Z,2016-02-21T20:21:44.000Z,4.3,16.5,10005,11215
2016-02-15T11:10:38.000Z,2016-02-15T11:41:07.000Z,18,52,10020,11422
2016-02-06T23:29:59.000Z,2016-02-06T23:47:32.000Z,3.8,15,10003,10044
2016-02-27T23:54:24.000Z,2016-02-27T23:54:27.000Z,0,2.5,10167,10167
2016-02-18T00:55:39.000Z,2016-02-18T01:13:35.000Z,5.1,17.5,11102,11206
2016-02-25T09:35:15.000Z,2016-02-25T09:40:45.000Z,0.8,5.5,10017,10154
2016-02-08T09:13:07.000Z,2016-02-08T09:20:54.000Z,1.99,8.5,10017,11109
2016-02-01T00:15:47.000Z,2016-02-01T00:19:28.000Z,1.12,5.5,10020,10001
2016-02-15T18:55:40.000Z,2016-02-15T19:03:22.000Z,1.09,7,10011,10012
2016-02-28T12:03:17.000Z,2016-02-28T12:19:34.000Z,3.64,14.5,10018,10012
2016-02-20T15:56:51.000Z,2016-02-20T16:00:35.000Z,0.5,4.5,10111,10111
2016-02-17T14:51:45.000Z,2016-02-17T15:12:10.000Z,2.7,14.5,10001,10012
2016-02-23T14:38:52.000Z,2016-02-23T14:47:04.000Z,1.89,8,11104,11106
2016-02-14T16:48:20.000Z,2016-02-14T16:52:05.000Z,0.6,4.5,10044,10021
2016-02-22T20:37:13.000Z,2016-02-22T20:55:58.000Z,3.8,15.5,10019,10009
2016-02-08T22:13:39.000Z,2016-02-08T22:37:18.000Z,5.7,20.5,10065,11372
2016-02-10T23:50:14.000Z,2016-02-10T23:57:08.000Z,1.05,6.5,10020,10017
2016-02-10T09:18:31.000Z,2016-02-10T09:24:11.000Z,0.83,6,10023,10023
2016-02-27T17:35:29.000Z,2016-02-27T17:47:15.000Z,1.69,9.5,10011,10002
2016-02-10T13:47:34.000Z,2016-02-10T14:14:23.000Z,3.32,18.5,10012,10022
2016-02-24T00:05:47.000Z,2016-02-24T00:23:23.000Z,7.5,23,10009,10455
2016-02-16T13:38:02.000Z,2016-02-16T13:49:46.000Z,2.27,10,10153,10162
2016-02-08T18:37:39.000Z,2016-02-08T19:01:07.000Z,4.93,19.5,10271,10020
2016-02-10T16:08:50.000Z,2016-02-10T16:24:57.000Z,5,17.5,11217,10009
2016-02-26T21:13:14.000Z,2016-02-26T21:17:21.000Z,0.8,5.5,10023,10021
2016-02-10T20:36:59.000Z,2016-02-10T20:47:23.000Z,2.6,10.5,10103,10028
2016-02-06T11:50:13.000Z,2016-02-06T11:56:48.000Z,1,6.5,10021,10153
2016-02-23T09:40:34.000Z,2016-02-23T09:43:57.000Z,0.46,4.5,10171,10022
2016-02-02T10:48:01.000Z,2016-02-02T11:02:30.000Z,2.31,11.5,10018,10023
2016-02-05T21:12:40.000Z,2016-02-05T21:15:59.000Z,0.5,4.5,10280,10280
2016-02-11T14:31:01.000Z,2016-02-11T14:40:19.000Z,1.38,8,10018,10111
2016-02-22T20:06:41.000Z,2016-02-22T20:11:15.000Z,0.44,5,10011,10012
2016-02-08T07:54:06.000Z,2016-02-08T08:00:34.000Z,0.95,6.5,10001,10110
2016-02-17T08:24:27.000Z,2016-02-17T08:48:27.000Z,3.4,17,10044,10199
2016-02-23T18:39:32.000Z,2016-02-23T18:55:56.000Z,2.1,11.5,10103,10017
2016-02-22T10:26:26.000Z,2016-02-22T10:59:48.000Z,17.75,52,11422,10110
2016-02-12T20:52:33.000Z,2016-02-12T20:57:24.000Z,1,6,10065,10044
2016-02-20T03:12:57.000Z,2016-02-20T03:24:36.000Z,2.32,10.5,11238,11206
2016-02-09T08:31:03.000Z,2016-02-09T08:50:10.000Z,6.7,21.5,10119,10027
2016-02-04T18:55:29.000Z,2016-02-04T19:05:24.000Z,0.87,7.5,10110,10110
2016-02-02T16:36:17.000Z,2016-02-02T16:48:39.000Z,2.1,10,10017,10011
2016-02-16T11:18:27.000Z,2016-02-16T11:30:27.000Z,1.46,9.5,10017,10020
2016-02-04T09:55:45.000Z,2016-02-04T10:28:15.000Z,4.06,21,10012,10021
2016-02-18T08:37:06.000Z,2016-02-18T08:53:06.000Z,5.57,19,10016,10282
2016-02-28T05:23:13.000Z,2016-02-28T05:28:19.000Z,1.71,7,10019,10199
2016-02-21T10:06:28.000Z,2016-02-21T10:10:26.000Z,0.61,5,10016,10110
2016-02-20T12:17:31.000Z,2016-02-20T12:33:33.000Z,3.1,13.5,10028,10001
2016-02-24T12:38:31.000Z,2016-02-24T12:51:30.000Z,1.62,9.5,10167,10021
2016-02-02T16:49:33.000Z,2016-02-02T16:54:08.000Z,0.7,5,10017,10001
2016-02-27T12:29:11.000Z,2016-02-27T12:34:55.000Z,0.94,6,10021,10065
2016-02-27T03:25:12.000Z,2016-02-27T03:33:17.000Z,1.5,7.5,10014,10003
2016-02-12T18:06:58.000Z,2016-02-12T18:25:58.000Z,3.2,14.5,11217,11221
2016-02-24T16:11:08.000Z,2016-02-24T16:36:02.000Z,4.22,18.5,10167,10025
2016-02-21T03:57:36.000Z,2016-02-21T04:13:17.000Z,4.11,15,10012,10021
2016-02-26T09:48:55.000Z,2016-02-26T09:53:08.000Z,0.71,5,10119,10199
2016-02-16T07:01:58.000Z,2016-02-16T07:52:30.000Z,13.9,44,11422,11377
2016-02-15T11:03:09.000Z,2016-02-15T11:10:17.000Z,0.4,6,10065,10065
2016-02-11T21:18:05.000Z,2016-02-11T21:47:08.000Z,6.1,24,10003,11237
2016-02-05T18:35:00.000Z,2016-02-05T18:44:26.000Z,1.82,8.5,10003,10171
2016-02-12T08:33:16.000Z,2016-02-12T08:36:19.000Z,0.38,4,10153,10065
2016-02-28T04:52:55.000Z,2016-02-28T05:11:12.000Z,7,23,10012,11377
2016-02-12T18:10:15.000Z,2016-02-12T18:16:15.000Z,1.3,7,10023,10025
2016-02-09T16:56:23.000Z,2016-02-09T17:03:40.000Z,0.98,6.5,10153,10021
2016-02-10T17:00:54.000Z,2016-02-10T17:13:29.000Z,2.16,10.5,10020,10023
2016-02-21T14:52:56.000Z,2016-02-21T14:56:45.000Z,0.5,4.5,10023,10023
2016-02-25T15:26:44.000Z,2016-02-25T15:34:50.000Z,0.89,7,10065,10022
2016-02-14T02:55:36.000Z,2016-02-14T03:00:17.000Z,1.21,6,10001,10020
2016-02-07T04:11:40.000Z,2016-02-07T04:18:52.000Z,2.16,9,10002,11211
2016-02-15T12:56:01.000Z,2016-02-15T13:09:01.000Z,1.45,9.5,10018,10022
2016-02-09T05:41:25.000Z,2016-02-09T05:44:49.000Z,1.4,6,10020,10011
2016-02-13T12:14:12.000Z,2016-02-13T12:39:04.000Z,4.3,19,10009,10023
2016-02-18T12:19:26.000Z,2016-02-18T12:32:39.000Z,1.1,9.5,10017,10119
2016-02-15T14:09:12.000Z,2016-02-15T14:14:56.000Z,0.9,6,10018,10199
2016-02-11T21:52:54.000Z,2016-02-11T22:03:00.000Z,1.9,9,10005,10012
2016-02-13T16:16:19.000Z,2016-02-13T16:23:20.000Z,1.63,8,10023,10025
2016-02-19T00:50:17.000Z,2016-02-19T01:06:51.000Z,6.59,21.5,10001,10037
2016-02-07T01:24:25.000Z,2016-02-07T01:28:51.000Z,1.03,5.5,10017,10022
2016-02-12T16:17:50.000Z,2016-02-12T16:26:27.000Z,1.03,7.5,10103,10019
2016-02-02T22:01:09.000Z,2016-02-02T22:21:43.000Z,11.15,31.5,11371,10020
2016-02-06T04:57:04.000Z,2016-02-06T05:01:53.000Z,1.3,6,10199,10019
2016-02-27T15:13:36.000Z,2016-02-27T15:21:59.000Z,1.67,8,10119,10153
2016-02-27T08:37:19.000Z,2016-02-27T08:48:49.000Z,2.79,11,10017,10023
2016-02-17T09:11:02.000Z,2016-02-17T09:21:19.000Z,1.17,8,10119,10001
2016-02-17T18:27:04.000Z,2016-02-17T19:05:01.000Z,11.6,35.5,11422,11221
2016-02-11T09:35:51.000Z,2016-02-11T10:11:07.000Z,6.3,28,10018,10005
2016-02-25T09:53:47.000Z,2016-02-25T10:07:09.000Z,1.92,10.5,10282,10002
2016-02-23T19:39:09.000Z,2016-02-23T20:17:54.000Z,18.07,52,11422,10154
2016-02-14T15:39:42.000Z,2016-02-14T15:49:50.000Z,0.94,8,10022,10019
2016-02-20T18:29:28.000Z,2016-02-20T18:51:32.000Z,2.85,15.5,10199,10013
2016-02-12T23:27:20.000Z,2016-02-12T23:29:58.000Z,0.7,4.5,10019,10020
2016-02-29T18:51:04.000Z,2016-02-29T19:03:02.000Z,3.3,12.5,10167,10002
